pregunta,categoria
¿Cómo se desarrolla el turno en Azul?,informacion
¿Cuántas partidas gana en promedio Exploding Kittens?,estadisticas
¿Quién colaboró en el diseño de Hive?,relaciones
¿Quién ilustró el Wingspan?,relaciones
¿Cómo se juega el Jenga?,informacion
¿Qué tan popular es el Timeline?,estadisticas
¿Qué rating tiene el Exploding Kittens?,estadisticas
¿Qué mecánicas tiene el Uno?,informacion
¿Quién trabajó para el Stratego?,relaciones
¿Cuántas partidas gana en promedio 7 Wonders?,estadisticas
¿Quién editó el Exploding Kittens?,relaciones
¿Cómo se gana en Hive?,informacion
¿Cómo se gana en Dominó?,informacion
¿Quién trabajó para el Hive?,relaciones
¿Qué personas hicieron el Just One?,relaciones
¿Cuántas partidas gana en promedio Dominó?,estadisticas
¿Qué elementos trae el juego Tabú?,informacion
¿Qué elementos trae el juego Zombicide?,informacion
¿Qué elementos trae el juego Dominó?,informacion
¿Qué mecánicas tiene el Dixit?,informacion
¿Quién diseñó el ajedrez?,relaciones
¿Cuál es la edad recomendada para el Póker?,estadisticas
¿Qué tan popular es el Everdell?,estadisticas
¿Cuántos jugadores pueden jugar Azul?,estadisticas
¿Quiénes son los creadores de Pictionary?,relaciones
¿Cómo se gana en ajedrez?,informacion
¿Quién editó el Twilight Struggle?,relaciones
¿Qué puntaje tiene el Catan?,estadisticas
¿Cuántos jugadores pueden jugar Patchwork?,estadisticas
¿Quién diseñó el Just One?,relaciones
¿Qué tan popular es el Tiny Towns?,estadisticas
¿Cuál es la posición del Bang! en el ranking?,estadisticas
¿Qué elementos trae el juego Everdell?,informacion
¿Qué reglas tiene el Uno?,informacion
¿Quién colaboró en el diseño de Ark Nova?,relaciones
¿Quién participó en el desarrollo de Póker?,relaciones
¿Qué tan popular es el Pandemic?,estadisticas
¿Qué mecánicas tiene el Pandemic?,informacion
¿Cuál es la posición del Dominó en el ranking?,estadisticas
¿Quién diseñó el Bang!?,relaciones
¿Cuál es el objetivo de Patchwork?,informacion
¿Qué puntaje tiene el Clue?,estadisticas
¿Cómo se gana en Zombicide?,informacion
¿Cuántos jugadores pueden jugar ajedrez?,estadisticas
¿Quién participó en el desarrollo de Uno?,relaciones
¿Cuál es la duración promedio de Root?,estadisticas
¿Qué puntaje tiene el Dobble?,estadisticas
¿Qué tan popular es el Agricola?,estadisticas
¿Cuántas veces se ha jugado el Qwirkle?,estadisticas
¿Quién diseñó el Jenga?,relaciones
¿Quién colaboró en el diseño de Dominó?,relaciones
¿Cómo gano en el Dixit?,informacion
¿Qué acciones se pueden hacer en Dobble?,informacion
¿Cuál es la duración promedio de Everdell?,estadisticas
¿Quién colaboró en el diseño de Uno?,relaciones
¿Cómo se gana en Catan?,informacion
¿Qué reglas tiene el Azul?,informacion
¿Quiénes son los creadores de Catan?,relaciones
¿Quién ilustró el Risk?,relaciones
¿Qué autores hay detrás de Terraforming Mars?,relaciones
¿Qué reglas tiene el Wingspan?,informacion
¿Cómo gano en el Everdell?,informacion
¿Cómo comienza una partida de Azul?,informacion
¿Cómo comienza una partida de Scrabble?,informacion
¿Quién participó en el desarrollo de Pandemic?,relaciones
¿Qué elementos trae el juego Risk?,informacion
¿Qué autores hay detrás de Agricola?,relaciones
¿Quiénes son los creadores de Terraforming Mars?,relaciones
¿Qué puntaje tiene el Scythe?,estadisticas
¿Cuál es el objetivo de Póker?,informacion
¿Quién participó en el desarrollo de Just One?,relaciones
¿Qué puntaje tiene el Ark Nova?,estadisticas
¿Qué tan popular es el Risk?,estadisticas
¿Cuál es la edad recomendada para el Qwirkle?,estadisticas
¿Qué nivel de dificultad tiene el Patchwork?,estadisticas
¿Cuántas veces se ha jugado el Azul?,estadisticas
¿Qué empresa publicó el Tabú?,relaciones
¿Qué mecánicas tiene el Bang!?,informacion
¿Quién participó en el desarrollo de Ark Nova?,relaciones
¿Cuántos jugadores pueden jugar Twilight Struggle?,estadisticas
¿Cómo gano en el Catan?,informacion
¿Qué acciones se pueden hacer en Azul?,informacion
¿Quiénes son los creadores de Uno?,relaciones
¿Quién trabajó para el Catan?,relaciones
¿Cómo se gana en Twilight Struggle?,informacion
¿Quién editó el Póker?,relaciones
¿Qué elementos trae el juego The Mind?,informacion
¿Cuál es la edad recomendada para el Exploding Kittens?,estadisticas
¿Cuál es la edad recomendada para el Patchwork?,estadisticas
¿Quién trabajó para el ajedrez?,relaciones
¿Quién ilustró el The Mind?,relaciones
¿Cómo gano en el Bang!?,informacion
¿Quiénes son los creadores de Just One?,relaciones
¿Qué acciones se pueden hacer en The Mind?,informacion
¿Qué puntaje tiene el Tabú?,estadisticas
¿Qué tan popular es el Love Letter?,estadisticas
¿Cuál es la posición del Bang! en el ranking?,estadisticas
¿Cuál es el objetivo de Terraforming Mars?,informacion
¿Qué elementos trae el juego ajedrez?,informacion
¿Cómo comienza una partida de Dobble?,informacion
¿Quiénes son los creadores de Póker?,relaciones
¿Qué empresa publicó el 7 Wonders?,relaciones
¿Cuántos jugadores pueden jugar 7 Wonders?,estadisticas
¿Cuál es el objetivo de Just One?,informacion
¿Cómo comienza una partida de Hive?,informacion
¿Qué puntaje tiene el Timeline?,estadisticas
¿Qué elementos trae el juego Jenga?,informacion
¿Cómo se juega el Wingspan?,informacion
¿Quién editó el Pandemic?,relaciones
¿Cómo gano en el Bang!?,informacion
¿Cómo gano en el Ark Nova?,informacion
¿Quiénes son los creadores de Tabú?,relaciones
¿Cuál es la posición del Stratego en el ranking?,estadisticas
¿Quién diseñó el Clue?,relaciones
¿Qué autores hay detrás de Bang!?,relaciones
¿Qué tan popular es el Timeline?,estadisticas
¿Quién diseñó el The Mind?,relaciones
¿Quiénes son los creadores de Azul?,relaciones
¿Qué puntaje tiene el Agricola?,estadisticas
¿Qué reglas tiene el ajedrez?,informacion
¿Qué autores hay detrás de Scythe?,relaciones
¿Cuántas partidas gana en promedio Bang!?,estadisticas
¿Qué nivel de dificultad tiene el Qwirkle?,estadisticas
¿Cuántas veces se ha jugado el Scrabble?,estadisticas
¿Quiénes son los creadores de Qwirkle?,relaciones
¿Cómo se gana en Qwirkle?,informacion
¿Qué empresa publicó el Monopoly?,relaciones
¿Qué elementos trae el juego Bang!?,informacion
¿Qué empresa publicó el Scrabble?,relaciones
¿Cómo se juega el Ark Nova?,informacion
¿Cómo se juega el Dominó?,informacion
¿Quién ilustró el Ark Nova?,relaciones
¿Quién participó en el desarrollo de Dominó?,relaciones
¿Cómo comienza una partida de Dominó?,informacion
¿Qué mecánicas tiene el Root?,informacion
¿Qué reglas tiene el Azul?,informacion
¿Cuál es la duración promedio de Póker?,estadisticas
¿Quién ilustró el ajedrez?,relaciones
¿Cómo gano en el Carcassonne?,informacion
¿Qué autores hay detrás de Dobble?,relaciones
¿Qué reglas tiene el Pictionary?,informacion
¿Cuántas veces se ha jugado el Pictionary?,estadisticas
¿Quién colaboró en el diseño de ajedrez?,relaciones
¿Quién ilustró el Stratego?,relaciones
¿Qué mecánicas tiene el Patchwork?,informacion
¿Qué mecánicas tiene el Root?,informacion
¿Cómo se gana en Just One?,informacion
¿Quiénes son los creadores de Timeline?,relaciones
¿Qué rating tiene el Wingspan?,estadisticas
¿Qué nivel de dificultad tiene el Qwirkle?,estadisticas
¿Cuál es la edad recomendada para el Pandemic?,estadisticas
¿Qué personas hicieron el Scrabble?,relaciones
¿Qué puntaje tiene el Monopoly?,estadisticas
¿Quién colaboró en el diseño de Pandemic?,relaciones
¿Cuál es la duración promedio de Everdell?,estadisticas
¿Cuántas veces se ha jugado el Risk?,estadisticas
¿Quién ilustró el Battleship?,relaciones
¿Cuántos jugadores pueden jugar Clue?,estadisticas
¿Qué rating tiene el Twilight Struggle?,estadisticas
¿Cuántas veces se ha jugado el ajedrez?,estadisticas
¿Qué tan popular es el Ark Nova?,estadisticas
¿Qué rating tiene el Twilight Struggle?,estadisticas
¿Cómo comienza una partida de Clue?,informacion
¿Qué tan popular es el The Mind?,estadisticas
¿Qué mecánicas tiene el Bang!?,informacion
¿Quién diseñó el Scythe?,relaciones
¿Quién participó en el desarrollo de Jenga?,relaciones
¿Quién diseñó el Patchwork?,relaciones
¿Quién trabajó para el Scrabble?,relaciones
¿Qué tan popular es el Exploding Kittens?,estadisticas
¿Qué tan popular es el 7 Wonders?,estadisticas
¿Qué acciones se pueden hacer en Pictionary?,informacion
¿Cómo se juega el Azul?,informacion
¿Qué nivel de dificultad tiene el Risk?,estadisticas
¿Cómo gano en el Twilight Struggle?,informacion
¿Cómo gano en el The Mind?,informacion
¿Qué acciones se pueden hacer en 7 Wonders?,informacion
¿Quién editó el Battleship?,relaciones
¿Quién participó en el desarrollo de Tabú?,relaciones
¿Quién ilustró el The Mind?,relaciones
¿Qué empresa publicó el Love Letter?,relaciones
¿Cómo comienza una partida de Dixit?,informacion
¿Qué rating tiene el Tiny Towns?,estadisticas
¿Quién participó en el desarrollo de Terraforming Mars?,relaciones
¿Cómo gano en el Wingspan?,informacion
¿Cómo gano en el Ticket to Ride?,informacion
¿Qué mecánicas tiene el Pictionary?,informacion
¿Quién ilustró el Bang!?,relaciones
¿Qué tan popular es el Twilight Struggle?,estadisticas
¿Quiénes son los creadores de Terraforming Mars?,relaciones
¿Qué mecánicas tiene el Ticket to Ride?,informacion
¿Qué puntaje tiene el Dobble?,estadisticas
¿Cómo se gana en Uno?,informacion
¿Quién ilustró el Agricola?,relaciones
¿Quién participó en el desarrollo de Scythe?,relaciones
¿Quién ilustró el Wingspan?,relaciones
¿Quién editó el Everdell?,relaciones
¿Cuántas veces se ha jugado el Timeline?,estadisticas
¿Quién ilustró el Uno?,relaciones
¿Cómo gano en el The Mind?,informacion
¿Cuál es la duración promedio de Uno?,estadisticas
¿Quiénes son los creadores de Wingspan?,relaciones
¿Cuál es el objetivo de Just One?,informacion
¿Cuántas veces se ha jugado el Uno?,estadisticas
¿Cómo gano en el Splendor?,informacion
¿Cuál es el objetivo de Splendor?,informacion
¿Qué nivel de dificultad tiene el Dominó?,estadisticas
¿Cómo se gana en Splendor?,informacion
¿Qué empresa publicó el 7 Wonders?,relaciones
¿Qué puntaje tiene el Terraforming Mars?,estadisticas
¿Qué puntaje tiene el Carcassonne?,estadisticas
¿Cuántas veces se ha jugado el Uno?,estadisticas
¿Cómo gano en el Catan?,informacion
¿Cómo gano en el Monopoly?,informacion
¿Quién colaboró en el diseño de Bang!?,relaciones
¿Cómo gano en el Dobble?,informacion
¿Cuántas veces se ha jugado el Timeline?,estadisticas
¿Cómo comienza una partida de Tabú?,informacion
¿Cuál es la posición del Clue en el ranking?,estadisticas
¿Cómo se gana en Splendor?,informacion
¿Cómo comienza una partida de Wingspan?,informacion
¿Cuántas partidas gana en promedio Bang!?,estadisticas
¿Cómo se gana en Exploding Kittens?,informacion
¿Cómo se desarrolla el turno en Tabú?,informacion
¿Quién editó el Clue?,relaciones
¿Cómo se desarrolla el turno en Póker?,informacion
¿Cuál es la duración promedio de Root?,estadisticas
¿Cómo se gana en Splendor?,informacion
¿Qué autores hay detrás de Ark Nova?,relaciones
¿Cuántas veces se ha jugado el Monopoly?,estadisticas
¿Cómo comienza una partida de Pandemic?,informacion
¿Qué tan popular es el Uno?,estadisticas
¿Cuántas veces se ha jugado el Battleship?,estadisticas
¿Qué reglas tiene el Zombicide?,informacion
¿Cuál es el objetivo de Root?,informacion
¿Qué puntaje tiene el Bang!?,estadisticas
¿Quién participó en el desarrollo de Monopoly?,relaciones
¿Qué rating tiene el Azul?,estadisticas
¿Cuál es la duración promedio de Patchwork?,estadisticas
¿Qué tan popular es el Pictionary?,estadisticas
¿Qué acciones se pueden hacer en Timeline?,informacion
¿Cuántas partidas gana en promedio Jenga?,estadisticas
¿Quién editó el The Mind?,relaciones
¿Quién participó en el desarrollo de Catan?,relaciones
¿Qué elementos trae el juego Carcassonne?,informacion
¿Quién participó en el desarrollo de Twilight Struggle?,relaciones
¿Quién colaboró en el diseño de Scythe?,relaciones
¿Qué personas hicieron el Wingspan?,relaciones
¿Cuál es la duración promedio de Twilight Struggle?,estadisticas
¿Qué reglas tiene el Twilight Struggle?,informacion
¿Quién trabajó para el Risk?,relaciones
¿Qué nivel de dificultad tiene el Carcassonne?,estadisticas
¿Cómo gano en el Azul?,informacion
¿Cómo se desarrolla el turno en Qwirkle?,informacion
¿Qué rating tiene el Just One?,estadisticas
¿Cuántos jugadores pueden jugar Wingspan?,estadisticas
¿Qué personas hicieron el Root?,relaciones
¿Qué mecánicas tiene el Risk?,informacion
¿Cómo comienza una partida de Pictionary?,informacion
¿Cuántas veces se ha jugado el Stratego?,estadisticas
¿Cuál es el objetivo de Bang!?,informacion
¿Cuántas partidas gana en promedio Just One?,estadisticas
¿Quién colaboró en el diseño de Monopoly?,relaciones
¿Cómo comienza una partida de Pictionary?,informacion
¿Cómo se juega el Jenga?,informacion
¿Cuántas partidas gana en promedio Clue?,estadisticas
¿Qué empresa publicó el Pictionary?,relaciones
¿Cómo se desarrolla el turno en Love Letter?,informacion
¿Cuántas partidas gana en promedio The Mind?,estadisticas
¿Qué tan popular es el Battleship?,estadisticas
¿Quién colaboró en el diseño de Dobble?,relaciones
¿Qué tan popular es el Ark Nova?,estadisticas
¿Qué rating tiene el Ark Nova?,estadisticas
¿Quién trabajó para el Pictionary?,relaciones
¿Cómo se juega el Carcassonne?,informacion
¿Qué reglas tiene el Agricola?,informacion
¿Qué nivel de dificultad tiene el 7 Wonders?,estadisticas
¿Cuántas veces se ha jugado el Splendor?,estadisticas
¿Quién ilustró el Twilight Struggle?,relaciones
¿Cómo se desarrolla el turno en 7 Wonders?,informacion
¿Cómo gano en el The Mind?,informacion
¿Quién diseñó el Everdell?,relaciones
¿Qué reglas tiene el Agricola?,informacion
¿Cuántas veces se ha jugado el Zombicide?,estadisticas
¿Qué mecánicas tiene el Azul?,informacion
¿Quién ilustró el Timeline?,relaciones
¿Cómo se desarrolla el turno en Póker?,informacion
¿Quién diseñó el Carcassonne?,relaciones
¿Qué elementos trae el juego Dixit?,informacion
¿Qué personas hicieron el Twilight Struggle?,relaciones
¿Cómo se juega el Everdell?,informacion
¿Qué mecánicas tiene el Ark Nova?,informacion
¿Qué autores hay detrás de Just One?,relaciones
¿Qué nivel de dificultad tiene el Battleship?,estadisticas
¿Cuántas partidas gana en promedio The Mind?,estadisticas
¿Qué rating tiene el Terraforming Mars?,estadisticas
¿Cómo se desarrolla el turno en Patchwork?,informacion
¿Cuál es la edad recomendada para el Bang!?,estadisticas
¿Qué acciones se pueden hacer en Love Letter?,informacion
¿Cuál es la edad recomendada para el Wingspan?,estadisticas
¿Cuántas partidas gana en promedio Azul?,estadisticas
¿Qué autores hay detrás de Tiny Towns?,relaciones
¿Cómo gano en el Exploding Kittens?,informacion
¿Cómo se desarrolla el turno en Dominó?,informacion
¿Qué acciones se pueden hacer en Exploding Kittens?,informacion
¿Quién diseñó el Carcassonne?,relaciones
¿Cuál es la posición del Exploding Kittens en el ranking?,estadisticas
¿Quién editó el 7 Wonders?,relaciones
¿Quién trabajó para el Bang!?,relaciones
¿Qué empresa publicó el Exploding Kittens?,relaciones
¿Qué empresa publicó el Love Letter?,relaciones
¿Qué rating tiene el Zombicide?,estadisticas
¿Quién ilustró el Pandemic?,relaciones
¿Quiénes son los creadores de Jenga?,relaciones
¿Qué nivel de dificultad tiene el Jenga?,estadisticas
¿Qué nivel de dificultad tiene el Pandemic?,estadisticas
¿Qué tan popular es el The Mind?,estadisticas
¿Quiénes son los creadores de Pictionary?,relaciones
¿Cuántas partidas gana en promedio Monopoly?,estadisticas
¿Quién trabajó para el Tiny Towns?,relaciones
¿Qué tan popular es el Everdell?,estadisticas
¿Quién colaboró en el diseño de Twilight Struggle?,relaciones
¿Cómo gano en el Scrabble?,informacion
¿Quién colaboró en el diseño de Jenga?,relaciones
¿Cómo comienza una partida de Terraforming Mars?,informacion
¿Qué reglas tiene el Wingspan?,informacion
¿Qué personas hicieron el 7 Wonders?,relaciones
¿Cuántas veces se ha jugado el Terraforming Mars?,estadisticas
¿Cuántos jugadores pueden jugar Scythe?,estadisticas
¿Qué rating tiene el Love Letter?,estadisticas
¿Qué puntaje tiene el Clue?,estadisticas
¿Cuántas veces se ha jugado el Stratego?,estadisticas
¿Quiénes son los creadores de Pictionary?,relaciones
¿Quién editó el Pandemic?,relaciones
¿Qué mecánicas tiene el Catan?,informacion
¿Qué mecánicas tiene el Azul?,informacion
¿Qué tan popular es el Hive?,estadisticas
¿Qué acciones se pueden hacer en Catan?,informacion
¿Cuántas veces se ha jugado el Dominó?,estadisticas
¿Quién trabajó para el Dixit?,relaciones
¿Qué rating tiene el Póker?,estadisticas
¿Quién diseñó el Everdell?,relaciones
¿Quién trabajó para el Clue?,relaciones
¿Quién colaboró en el diseño de Dixit?,relaciones
¿Qué empresa publicó el Splendor?,relaciones
¿Qué mecánicas tiene el Bang!?,informacion
¿Cuántas partidas gana en promedio Tiny Towns?,estadisticas
¿Qué mecánicas tiene el Clue?,informacion
¿Qué empresa publicó el Just One?,relaciones
¿Cuántos jugadores pueden jugar Carcassonne?,estadisticas
¿Cuál es el objetivo de Póker?,informacion
¿Quiénes son los creadores de Scythe?,relaciones
¿Quién participó en el desarrollo de Everdell?,relaciones
¿Qué nivel de dificultad tiene el Scrabble?,estadisticas
¿Cuántas partidas gana en promedio Root?,estadisticas
¿Qué nivel de dificultad tiene el Dominó?,estadisticas
¿Quiénes son los creadores de Just One?,relaciones
¿Qué autores hay detrás de Twilight Struggle?,relaciones
¿Quiénes son los creadores de Catan?,relaciones
¿Quién participó en el desarrollo de Dixit?,relaciones
¿Cómo gano en el ajedrez? -> Información
¿Quién trabajó para el ta-te-ti?,relaciones
¿Qué puntaje tienen las damas?,estadisticas
¿Cuál es el puntaje máximo en X juego?,información
¿Quién es el creador del Monopoly?,relaciones
¿Qué rating tienen los juegos de mesa?,estadisticas
¿Cómo se consigue ganar en el Tiny Towns?,información
¿Quiénes son los dibujantes de X juego?,relaciones
¿Cuál es la popularidad del Dominó?,estadisticas
